Name,P-51D ROOT (BL17.5) AIRFOIL
Chord(mm),2743.2
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
2743.200000,0.000000
2682.262555,7.672730
2607.370452,18.434304
2504.868041,37.584583
2377.054123,67.447058
2226.778884,104.639364
2057.400000,139.261291
1872.703087,168.876878
1676.811175,196.649035
1474.099668,223.507706
1269.100332,246.973039
1066.391568,259.783783
870.499656,255.784198
685.800000,239.511535
516.421116,219.132302
366.145877,191.340943
238.331959,160.282433
135.832291,122.807578
60.937445,83.225945
15.320772,41.855746
0.000000,0.000000
15.320772,-36.536681
60.937445,-72.436939
135.832291,-101.476454
238.331959,-128.176020
366.145877,-150.162768
516.421116,-168.457169
685.800000,-184.345783
870.499656,-192.237970
1066.391568,-193.255697
1269.100332,-184.760006
1474.099668,-163.094213
1676.811175,-131.506265
1872.703087,-99.479405
2057.400000,-72.826474
2226.778884,-49.701298
2377.054123,-29.058718
2504.868041,-14.769389
2607.370452,-6.882689
2682.262555,-2.798064
2743.200000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
15.320772,2.659532
60.937445,5.394503
135.832291,10.665562
238.331959,16.053206
366.145877,20.589088
516.421116,25.337567
685.800000,27.582876
870.499656,31.773114
1066.391568,33.264043
1269.100332,31.106516
1474.099668,30.206747
1676.811175,32.571385
1872.703087,34.698737
2057.400000,33.217409
2226.778884,27.469033
2377.054123,19.194170
2504.868041,11.407597
2607.370452,5.775808
2682.262555,2.437333
2743.200000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
2743.200000,0.000000
